01	04:47	06:17	13:30	17:51	20:07	21:37
02	04:49	06:19	13:30	17:49	20:06	21:36
03	04:51	06:21	13:30	17:47	20:04	21:34
04	04:53	06:23	13:30	17:45	20:02	21:32
05	04:55	06:25	13:30	17:43	20:00	21:30
06	04:57	06:27	13:30	17:41	19:58	21:28
07	04:58	06:28	13:30	17:39	19:56	21:26
08	05:00	06:30	13:30	17:37	19:54	21:24
09	05:02	06:32	13:30	17:35	19:52	21:22
10	05:04	06:34	13:30	17:33	19:49	21:19
11	05:05	06:35	13:30	17:31	19:47	21:17
12	05:07	06:37	13:30	17:29	19:45	21:15
13	05:09	06:39	13:30	17:27	19:43	21:13
14	05:11	06:41	13:30	17:25	19:41	21:11
15	05:13	06:43	13:30	17:23	19:39	21:09
16	05:14	06:44	13:30	17:21	19:37	21:07
17	05:16	06:46	13:30	17:19	19:35	21:05
18	05:18	06:48	13:30	17:17	19:32	21:02
19	05:20	06:50	13:30	17:15	19:30	21:00
20	05:21	06:51	13:30	17:13	19:27	20:57
21	05:23	06:53	13:30	17:11	19:24	20:54
22	05:25	06:55	13:30	17:09	19:22	20:52
23	05:27	06:57	13:30	17:07	19:20	20:50
24	05:28	06:58	13:30	17:05	19:17	20:47
25	05:30	07:00	13:30	17:02	19:15	20:45
26	05:31	07:01	13:30	17:00	19:12	20:42
27	05:33	07:03	13:30	16:58	19:10	20:40
28	05:35	07:05	13:30	16:56	19:08	20:38
29	05:36	07:06	13:30	16:54	19:05	20:35
30	05:37	07:07	13:30	16:52	19:03	20:33
